Feature,Fisher_Score
IQGAP1,680.4135761684727
HAP1,679.6222068850847
MRPS18A,679.5536253302747
DUX4,678.7049202483544
DBI,678.3277823650908
KIAA1467,677.9991074307334
BOLA3,677.6546405631003
NETO2,677.4959806188463
NELL2,677.3974793764658
SLC26A6,677.3353076085168
ZCCHC17,677.2318806706498
MPPED2,677.0489599201411
INA,676.1989598152244
CCK,676.190460883565
ELK1,675.6039386246177
RPH3A,675.4070053925876
LRRC20,675.0671431309329
THOC7,674.0466277756756
MAFF,673.7986355257102
NGFRAP1,673.4545808348461
NSF,673.2338302473411
SUB1,673.0834757105733
SYN2,672.7705366678322
C1orf78,672.7120431854548
NME1,672.0188229852115
CCDC102A,670.8143949566964
SV2B,670.4480950406474
HVCN1,670.1728032915912
PNMA2,669.6276282364288
MRPL15,668.4402739226198
TUSC2,667.9368964967549
ATP5H,667.5150047350695
C17orf25,667.1967041004126
C20orf54,666.8254118472113
FBXL2,666.61935426503
ATP5C1,666.1664418475793
C6orf154,666.1050367387279
ANKRD25,666.0817825309093
SCN8A,665.2919936952087
RNF175,665.2247452633588
CLEC2B,665.0599855561852
NEK2,663.9455653854006
CACNG1,663.898129644781
TRUB2,663.5356727044347
C19orf30,662.4924708040219
EVA1,662.3754625365166
SFXN1,662.1385434243097
ZNF558,662.0968536616699
ARMC3,661.5138319802181
ANGPT2,660.9046653244573
TSPYL5,660.8023382776923
ACOT7,660.0384358896443
IMMP1L,658.813382117262
DCAMKL1,658.7041372310381
C1orf149,656.0306417993203
KIAA0323,655.8289024272242
CHAF1B,654.8496056873945
LDB2,654.7649556137584
YWHAH,654.4541249716632
CKMT1B,654.2656023739388
SLC38A2,654.2543503409315
ZCCHC6,653.7355341503995
PARP16,653.0519314462122
MED10,652.87289569728
RHBDF2,652.7479305052769
GOT1,652.1724353616344
TRIP10,652.1707836018178
SPON2,651.7460990293303
PRSS16,651.7113706170437
INPPL1,651.5464119160503
TCEAL8,651.4454828016611
GIMAP5,650.6132459999427
CD302,650.3783498557696
STMN1,650.3007837102759
PIAS2,648.3722266022704
ALPPL2,647.9347334666973
EFNA4,647.708943841402
ROM1,647.4623292459587
MANBAL,647.0238358975156
C21orf62,646.51258163766
ATP2B2,644.7992317354449
SYT13,644.6363510857872
PRMT6,644.4746691939056
WASF1,643.6848756318692
C6orf145,643.5980336497012
GABRA4,643.1587801626541
ACTR10,643.113892469012
KIAA1715,642.1608208870437
MDH2,641.9719891673686
KCNC2,641.5941818179354
HABP4,641.2370835077527
CALCOCO2,640.8285067731148
PCP4,640.7248554416151
NGEF,640.1303064732678
METTL6,639.8679350450282
LTBP3,639.6398787472771
KCNAB1,639.4891282683872
KIAA0513,638.9284820211518
SAP30L,638.4354940407941
SLFN11,637.6734312896366
TAZ,637.3453401620451
MAPKAPK2,636.7931498355044
STAR,636.0915933167948
RAMP1,635.483535599401
BZW2,634.877693275982
WBSCR1,634.6889651165056
DDHD2,634.2990839053349
NPTX1,633.6914126512687
